ID,Category,Question,Answer
1,HSA,Bài thi đánh giá năng lực là gì?,Bạn hãy dành 5 phút đọc thông tin về bài thi đánh giá năng lực (HSA) phiên bản mới áp dụng từ năm 2025 tại đây và làm thử đề thi tham khảo (bản giấy hoặc bản trực tuyến) trước khi quyết định có thi HSA hay không?
2,HSA,Bài thi Đánh giá năng lực có được cộng điểm ưu tiên khu vực hay ưu tiên đối tượng dự thi hay không?,"Không cộng điểm ưu tiên

Viện Đào tạo số và Khảo thí được giao nhiệm vụ tổ chức thi Đánh giá năng lực (HSA) và cấp Giấy chứng nhận kết quả thi; không thực hiện xét tuyển đại học nên Giấy chứng nhận kết quả bài thi không cộng điểm ưu tiên. Việc cộng điểm ưu tiên (khu vực, đối tượng) nếu có do các trường đại học quyết định (giống như xét tuyển bằng các chứng chỉ quốc tế khác như SAT, ACT, IELTS...). Thí sinh hãy tìm hiểu Đề án tuyển sinh của trường đại học sẽ nộp hồ sơ xét tuyển để biết có được cộng điểm ưu tiên hay không?"
3,HSA,Bài thi Đánh giá năng lực có thời hạn bao nhiêu?,"không có thời hạn

Bài thi Đánh giá năng lực (HSA) của Đại học Quốc gia Hà Nội được thiết kế theo định hướng bài thi chuẩn hóa và không có thời hạn. Tùy theo mục đích sử dụng mà các đơn vị có thể đưa ra yêu cầu giới hạn thời hạn. Viện Đào tạo số và Khảo thí khuyến cáo các đơn vị sử dụng trong khoảng thời gian 24 tháng kể từ ngày thi. Thí sinh hãy liên hệ với các đơn vị sử dụng kết quả thi HSA để biết thêm yêu cầu thời hạn."
4,HSA,Lịch thi HSA xem ở đâu và em có nên lập tài khoản thi sớm hay không?,"Lịch thi có tại https://khaothi.vnu.edu.vn/lich-thi/lich-thi-hsa. 

Thí sinh có nguyện vọng thi dự thi HSA nên lập tài khoản thi sớm để tránh sai sót thông tin cá nhân (họ tên, ngày sinh, giới tính, số CCCD, ảnh chân dung, điện thoại...) từ ngày 01 tháng Một hằng năm. Thông tin cá nhân sẽ không thể chỉnh sửa (hoặc thay đổi) sau khi đã chọn ca thi. Bất kỳ thông tin nào bị nhầm lẫn, sai sót đều làm chậm cấp phiếu báo điểm từ 4-6 tuần (có thể không kịp xét tuyển đại học bằng kết quả thi HSA), không tra cứu được trên cổng tuyển sinh của Bộ Giáo dục và Đào tạo. Hãy lập tài khoản trước ngày mờ cổng đăng ký ca thi; kiểm tra lại thông tin, chỉnh sửa, cập nhật nếu có sai sót trước khi chọn ca thi (xem cách chỉnh sửa tại đây); không nhờ người khác lập tài khoản thi. Tài khoản được duy trì hoạt động trong 24 tháng kể từ ngày lập tài khoản."
5,HSA,Đại học Quốc gia Hà Nội có tổ chức ôn luyện thi Đánh giá năng lực (HSA) hay không?,"không tổ chức ôn, luyện thi HSA dưới bất kỳ hình thức nào

Viện Đào tạo số và Khảo thí và các đơn vị thuộc ĐHQGHN không tổ chức ôn, luyện thi HSA dưới bất kỳ hình thức nào. Nếu bạn phát hiện cá nhân, tổ chức mạo danh Viện Đào tạo số và Khảo thí tổ chức luyện thi HSA hãy báo cho chúng tôi biết để xử lý theo pháp luật. Chúng tôi chỉ xuất bản duy nhất cuốn ""Hướng dẫn thi đánh giá năng lực của ĐHQGHN"" do Nhà xuất bản ĐHQGHN phát hành từ năm 2025. Thí sinh có nhu cầu liên hệ với Nhà xuất bản ĐHQGHN."
6,HSA,"Em hỏi là phần thi Khoa học chọn 3 môn bất kỳ trong 5 môn vật lý, hóa học, sinh học, lịch sử, địa lý hay phải chọn 1 môn trái ban (tự nhiên hoặc xã hội) với 2 môn còn lại?","được chọn 3 môn bất kỳ

Như đã hướng dẫn, với phần thi Khoa học thí sinh được quyền chọn 3 môn bất kỳ trong 5 chủ đề vật lý, hóa học, sinh học, lịch sử, địa lý. Trong 3 chủ đề lựa chọn sẽ có 2 chủ đề có 17 câu hỏi chính thức và 1 chủ đề có 16 câu hỏi chính thức + 01 câu hỏi thử nghiệm không tính điểm. Bạn sẽ được lựa chọn chủ đề và số lượng câu hỏi ứng tương ứng theo năng lực, thế mạnh khoa học tự nhiên, khoa học xã hội hoặc liên ngành của mình trước khi bắt đầu làm phần thi Khoa học. Bạn có 60 phút để hoàn thiện phần này.

"
7,HSA,Tại sao bài thi của em có 51 câu hỏi ở Phần 1 trong khi em chỉ đạt tối đa 50 điểm?,"trong mỗi phần của bài thi HSA có 50 câu hỏi chấm điểm nhưng vẫn có thể kèm thêm 1-3 câu hỏi thử nghiệm không tính điểm

Như đã thông báo, các câu hỏi thử nghiệm được trộn vào các phần một cách ngẫu nhiên và bạn không biết là câu hỏi nào. Các phần thi có câu hỏi thử nghiệm thời gian làm bài sẽ kéo dài thêm 2-4 phút. Do đó, các chủ đề có thêm câu hỏi thử nghiệm sẽ nhiều hơn 1 câu hỏi (nhưng tổng không quá 3 câu trong cả bài thi). Kết quả câu hỏi thử nghiệm góp phần tăng chất lượng câu hỏi chuẩn hóa ĐGNL của Viện Đào tạo số và Khảo thí. "
8,HSA,Em học trên trường không đủ 3 môn cho phần Khoa học đăng ký thi môn ngoài môn được dạy trên lớp không?,"Kỳ thi HSA thiết kế để đo lường ""năng lực"" của học sinh. Các thí sinh có thể tự học, tự ôn tập... bằng hình thức phù hợp và phát huy khả năng từ biết, hiểu, vận dụng, tư duy tổng hợp, phân tích, đánh giá,... khi làm bài thi. Đơn vị tổ chức thi không yêu cầu cách thức thí sinh học tập như thế nào miễn sao bạn hoàn thành tốt bài thi. Hãy tìm hiểu đề thi tham khảo trước khi quyết định đăng ký dự thi HSA hay không? Đối tượng dự thi là học sinh đang học tập lớp 12 chương trình THPT hiện hành hoặc tương đương trở lên (không phục vụ đối tượng học sinh lớp 10 và 11).

"
9,HSA,Em đã lập tài khoản HSA năm trước (và đã dự thi hoặc chưa) thì có phải lập tài khoản mới hay không để dự thi năm nay?,"Tất cả các tài khoản lập trước ngày 31/12/2024 đều đã bị xóa để thiết lập trạng thái mới. Thí sinh lập tài khoản mới theo yêu cầu chuẩn hóa dữ liệu cá nhân (ảnh chân dung, số điện thoại, email, số CCCD, ngày sinh, giới tính) để tham dự các đợt thi kể từ năm 2025. Thí có thể lập tài khoản mới từ ngày 1 tháng Một năm 2025."
10,HSA,Em dùng email khác để lập tài khoản mới đăng ký thi được hay không vì em bị mất email cũ?,"Kỳ thi HSA là kỳ thi đánh giá năng lực học sinh trung học phổ thông để xét tuyển đại học, bạn phải thực sự nghiêm túc khi đăng ký thông tin dự thi chính xác nhất. Bạn có thể chỉnh sửa email trước khi đăng ký ca thi. Bạn sẽ không thể thanh toán ca thi nếu không kích hoạt tài khoản gửi qua email của bạn."
11,HSA,Thí sinh cần chuẩn bị những gì để đăng ký thi HSA?,"Bên cạnh việc ôn tập thật tốt cho kỳ thi, thí sinh cần chuẩn bị thiết bị máy tính nối mạng, số điện thoại di động, ảnh chân dung bản điện tử (4x6 cm), ảnh căn cước công dân (2 mặt), kết quả học tập trung bình chung của học kỳ lớp 10, 11 và 12 (không bắt buộc nhập điểm học kỳ 2 lớp 12), số điện thoại, địa chỉ email đang sử dụng và đọc Hướng dẫn đăng ký thi tại http://khaothi.vnu.edu.vn/huong-dan/dang-ky-thi. Hệ thống chỉ chấp nhận đăng ký sử dụng CCCD có 12 số. Nếu bạn chưa có CCCD hãy làm CCCD mới trước khi đăng ký. Thí sinh KHÔNG NHỜ NGƯỜI KHÁC đăng ký ca thi. Một số thí sinh có nơi sinh ở địa giới hành chính cũ nay đã đổi tên thì cập nhật nơi sinh theo đơn vị hành chính mới. Ví dụ nơi sinh trước đây là Hà Tây, nay Hà Tây đã sáp nhập vào Hà Nội (không còn tỉnh Hà Tây) thì nhập nơi sinh là Hà Nội."
12,HSA,"Em đã đăng ký tài khoản nhưng không nhận được email hay mã kích hoạt?

","Trước hết, thí sinh phải đảm bảo mình dùng đúng địa chỉ email đang hoạt động. Thống kê hệ thống cho thấy khoảng 1,0% thí sinh nhập sai địa chỉ email như: abc@gmial.com, abcd@gmail.con... Trước khi gửi email kích hoạt, hệ thống hsa.edu.vn sẽ kiểm tra email của bạn có đúng và đang hoạt động hay không? Nếu email không tồn tại, bạn sẽ không thể kích hoạt đăng ký tài khoản thi. Tài khoản không kích hoạt email sẽ không thể thanh toán lệ phí thi.

Nếu email đúng, hãy kiểm tra Hộp thư (Inbox), Quan trọng (Important) hay Thư rác (Spam) hoặc sử dụng chức năng tìm kiếm tiêu đề email ""Đại học Quốc gia Hà Nội, Viện Đào tạo số và Khảo thí - Xác thực tài khoản"" và làm theo hướng dẫn kích hoạt. Lưu ý: Thí sinh sẽ nhấn vào dòng chữ ""Nhấn vào đây để kích hoạt""."
13,HSA,"Em không có điện thoại di động để lập tài khoản?

","Từ năm 2025, hệ thống đăng thí thi bắt buộc thí sinh phải có số điện thoại để kích hoạt tài khoản HSA và nhận những thông báo quan trọng liên quan đến kỳ thi. Hệ thống có thể sẽ đối khớp thông tin số điện thoại và số thẻ căn cước của thí sinh. Nếu bạn không có số điện thoại cá nhân thì sử dụng điện thoại của người thân (bố, mẹ, người bảo mẫu...). Hệ thống sẽ gửi mã OTP để kích hoạt tài khoản và kiểm tra email trong tài khoản thí sinh có hoạt động hay không (email bắt buộc phải đang hoạt động). Hãy đọc hoặc xem lại Hướng dẫn đăng ký thi HSA để đảm bảo bạn không làm sai hoặc thiếu thao tác nào."
